District,Sub.County,Confirmed.Cases,Confirmed.Deaths,Recoveries,Probable.Deaths,Probable.Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
NA,Kawempe,02,00,00,NA,00,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAMPALA,KCCA,KAWEMPE DIVISION
Kampala,Makindye,01,00,00,NA,01,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAMPALA,KCCA,MAKINDYE DIVISION
NA,Rubaga,14,02,00,NA,03,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KAMPALA,KCCA,RUBAGA DIVISION
NA,Gomba,01,01,00,NA,00,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,GOMBA,GOMBA,NA
NA,Kalwana,25,07,00,NA,01,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KASSANDA,KASSANDA,KALWANA
Kassanda,Kassanda,05,00,02,NA,02,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KASSANDA,KASSANDA,KASSANDA
NA,Kiganda,03,00,00,NA,01,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KASSANDA,KASSANDA,KIGANDA
NA,Kikandwa,06,03,00,NA,00,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MITYANA,MITYANA,KIKANDWA
Kyegegwa,Kasule,04,01,00,NA,02,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,KYEGEGWA,KYAKA,KASULE
NA,Bagezza,02,02,00,NA,02,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,BAGEZZA
NA,Butologoa,01,01,00,NA,00,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,BUTOLOOGO
Eastern,Eastern,09,01,00,NA,06,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
Southern,Southern,07,03,01,NA,04,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
Western,Western,03,01,00,NA,02,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
NA,Kasambya,05,02,00,NA,02,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,KASAMBYA
NA,Kiruuma,10,04,05,NA,06,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,NA,KIRUUMA
NA,Kirwanyi,02,00,00,NA,00,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,NA,KIRWANYI
NA,Kiyuni,03,03,00,NA,00,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,KIYUNI
NA,Madudu,21,10,13,NA,11,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,MADUDU
NA,Kibalinga,01,01,00,NA,00,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,KASAMBYA,KIBALINGA
NA,Kitenga,01,00,00,NA,01,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,MUBENDE,BUWEKULA,KITENGA
NA,Busiro,01,00,00,NA,00,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,WAKISO,BUSIRO,NA
NA,Nansana,01,00,00,NA,00,40,2022-10-31,2022-11-01 13:28:09,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION
