District,Sub.County,Confirmed.Cases,Confirmed.Deaths,Recoveries,Probable.Deaths,Probable.Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
Kagadi,Kagadi TC,1,1,0,0,NA,48,2022-11-13,2022-11-14,SVS,KAGADI,BUYAGA,KAGADI
Bunyangabu,Rwimi TC,1,0,1,0,NA,48,2022-11-13,2022-11-14,SVS,BUNYANGABU,BUNYANGABU,RWIMI
Kyegegwa,Kasule,4,1,3,0,NA,48,2022-11-13,2022-11-14,SVS,KYEGEGWA,KYAKA,KASULE
Kassanda,Gomba,1,1,0,0,NA,48,2022-11-13,2022-11-14,SVS,GOMBA,GOMBA,NA
NA,Kalwana,36,12,14,0,NA,48,2022-11-13,2022-11-14,SVS,KASSANDA,KASSANDA,KALWANA
NA,Kassanda,2,0,2,2,NA,48,2022-11-13,2022-11-14,SVS,KASSANDA,KASSANDA,KASSANDA
NA,Kiganda,3,1,1,0,NA,48,2022-11-13,2022-11-14,SVS,KASSANDA,KASSANDA,KIGANDA
NA,Kikandwa,6,4,0,0,NA,48,2022-11-13,2022-11-14,SVS,MITYANA,MITYANA,KIKANDWA
Mubende,Bagezza,2,2,0,0,NA,48,2022-11-13,2022-11-14,SVS,MUBENDE,KASAMBYA,BAGEZZA
NA,Butologo,1,1,0,0,NA,48,2022-11-13,2022-11-14,SVS,MUBENDE,BUWEKULA,BUTOLOOGO
Eastern,Eastern,10,2,6,0,NA,48,2022-11-13,2022-11-14,SVS,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
Southern,Southern,7,3,4,1,NA,48,2022-11-13,2022-11-14,SVS,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
Western,Western,3,1,2,0,NA,48,2022-11-13,2022-11-14,SVS,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
NA,Kasambya,5,2,2,0,NA,48,2022-11-13,2022-11-14,SVS,MUBENDE,KASAMBYA,KASAMBYA
NA,Kiruuma,10,4,6,5,NA,48,2022-11-13,2022-11-14,SVS,MUBENDE,NA,KIRUUMA
NA,Kiyuni,3,3,0,0,NA,48,2022-11-13,2022-11-14,SVS,MUBENDE,BUWEKULA,KIYUNI
NA,Madudu,21,10,11,13,NA,48,2022-11-13,2022-11-14,SVS,MUBENDE,BUWEKULA,MADUDU
NA,Kibalinga,1,1,0,0,NA,48,2022-11-13,2022-11-14,SVS,MUBENDE,KASAMBYA,KIBALINGA
NA,Kitenga,1,0,1,0,NA,48,2022-11-13,2022-11-14,SVS,MUBENDE,BUWEKULA,KITENGA
Wakiso,Busiro,1,0,1,0,NA,48,2022-11-13,2022-11-14,SVS,WAKISO,BUSIRO,NA
NA,Nansana,1,0,1,0,NA,48,2022-11-13,2022-11-14,SVS,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION
NA,Ssumbwe,1,0,0,0,NA,48,2022-11-13,2022-11-14,SVS,WAKISO,,
Kampala,Kawempe,2,0,0,0,NA,48,2022-11-13,2022-11-14,SVS,KAMPALA,KCCA,KAWEMPE DIVISION
NA,Makindye,1,0,1,0,NA,48,2022-11-13,2022-11-14,SVS,KAMPALA,KCCA,MAKINDYE DIVISION
NA,Rubaga,14,3,9,0,NA,48,2022-11-13,2022-11-14,SVS,KAMPALA,KCCA,RUBAGA DIVISION
Masaka,Kimanya-Kyabakuza,1,0,0,0,NA,48,2022-11-13,2022-11-14,SVS,MASAKA,MASAKA MUNICIPALITY,KIMAANYA-KYABAKUZA DIVISION
Jinja,Bulenga TC,1,1,1,1,NA,48,2022-11-13,2022-11-14,SVS,JINJA,KAGOMA,BUWENGE TOWN COUNCIL
